node,lat,lon,score
27440221,41.8782108,-87.6276919,0.8044999999999992
262184216,41.8787846,-87.6307979,0.7999999999999993
262184217,41.8787766,-87.6322731,0.7859999999999993
740243555,41.8800929,-87.6277403,0.6974999999999996
740243676,41.8788321,-87.6277087,0.8044999999999993
853530314,41.8756138,-87.6312497,0.8379999999999999
1274393585,41.8756918,-87.6312567,0.8374999999999999
1448914875,41.8794192,-87.6314589,0.8014999999999992
1448914876,41.8787836,-87.6314485,0.8014999999999992
1457057869,41.8786565,-87.6307964,0.7999999999999993
1672977042,41.8806736,-87.6333976,0.6924999999999997
1884311450,41.876879,-87.6312935,0.8274999999999997
1885716957,41.8755637,-87.6282083,0.8084999999999996
1885719058,41.8755245,-87.6301743,0.8384999999999999
2180600331,41.877517,-87.6267835,0.8109999999999993
2180600358,41.8775223,-87.6263858,0.8119999999999992
2180600360,41.8769682,-87.6263735,0.8084999999999992
2180600380,41.8775184,-87.6265869,0.8109999999999993
2330813788,41.8784898,-87.6267136,0.8039999999999994
2390757086,41.878809,-87.6292127,0.8029999999999994
2392113523,41.8788197,-87.6278311,0.8039999999999994
2392113527,41.8788222,-87.6275842,0.8044999999999993
2394592082,41.876441,-87.6326076,0.8379999999999999
2394593311,41.876748,-87.6325793,0.8349999999999997
2394593312,41.8764408,-87.6325689,0.8374999999999999
2394593313,41.8766952,-87.6322509,0.8339999999999996
2394593314,41.876448,-87.6322463,0.8369999999999999
2394593318,41.8766928,-87.6325775,0.8349999999999997
2394594231,41.8764495,-87.6319828,0.8339999999999996
2394595068,41.8759358,-87.6319089,0.8394999999999999
2394595074,41.8759447,-87.6323377,0.8394999999999999
2394595076,41.8758348,-87.6324983,0.8394999999999999
2401831550,41.8800882,-87.6283881,0.6949999999999997
2404152587,41.8794489,-87.6262593,0.6954999999999998
2404152594,41.8795969,-87.6262601,0.6954999999999998
2404161626,41.8795346,-87.6262602,0.6954999999999998
2435818024,41.8788723,-87.6292173,0.8029999999999994
2447774999,41.876408,-87.6297305,0.7984999999999995
2624378882,41.8758877,-87.629718,0.8009999999999995
2624378884,41.8758923,-87.6292344,0.8019999999999995
2624378890,41.8764123,-87.6292444,0.7974999999999998
4156112986,41.8807596,-87.6324605,0.8079999999999993
4156112988,41.8806051,-87.6324547,0.689
4156113190,41.8806103,-87.6322059,0.7954999999999992
4156113192,41.8807648,-87.6322118,0.7954999999999992
4156113194,41.8807878,-87.6309805,0.8044999999999992
4156113196,41.8807905,-87.6307073,0.8039999999999992
4156113198,41.8806285,-87.6307229,0.8044999999999992
4156113200,41.8806247,-87.6309804,0.8019999999999992
4156113202,41.8807683,-87.6309805,0.8044999999999992
4156113206,41.8807919,-87.6292458,0.6969999999999997
4156113208,41.8806393,-87.62924,0.6969999999999997
4156113211,41.8806386,-87.6294975,0.6949999999999998
4156113213,41.8807005,-87.6275861,0.6984999999999997
4156113222,41.8807229,-87.6263064,0.6989999999999996
4497342631,41.8757914,-87.6330919,0.8379999999999991
7675964036,41.8756128,-87.6313645,0.8344999999999999
7675964041,41.8787687,-87.6276836,0.8044999999999993
7675964042,41.8776154,-87.6276664,0.8044999999999994
7675964044,41.8801857,-87.6277264,0.6989999999999996
7675964049,41.8775545,-87.6292634,0.8024999999999994
7675964050,41.8787567,-87.6292865,0.8019999999999993
7675964052,41.8801512,-87.6293643,0.8029999999999992
7897259284,41.8777782,-87.6282595,0.7974999999999994
7897300286,41.877213,-87.6287462,0.8004999999999997
8732593102,41.8763213,-87.6331097,0.8384999999999998
8732593105,41.8763248,-87.6328998,0.8389999999999997
8838345372,41.8775244,-87.6262287,0.8074999999999993
8838345374,41.8781622,-87.6269375,0.8089999999999994
8838345375,41.8781776,-87.6262491,0.8069999999999993
8838345387,41.8755584,-87.626884,0.8124999999999994
9353316096,41.8786696,-87.6285038,0.7969999999999995
9353316097,41.878191,-87.6284962,0.8064999999999993
9364862003,41.8806502,-87.6279112,0.6969999999999996
9373442307,41.8807523,-87.633399,0.6899999999999998
9678073872,41.8771034,-87.6267723,0.8034999999999993
9678073874,41.877109,-87.6265774,0.8064999999999993
9710044159,41.8783232,-87.6262514,0.8069999999999993
9710044182,41.8796022,-87.6262875,0.6954999999999998
9710044187,41.8794437,-87.6262849,0.6954999999999998
9782995118,41.8759803,-87.6307204,0.8314999999999998
9782995119,41.8759763,-87.6312671,0.8334999999999998
9818804272,41.8757532,-87.6330223,0.837499999999999
9818804273,41.8757919,-87.6330245,0.8359999999999991
9818858418,41.8776682,-87.6267891,0.8089999999999994
9818858421,41.8777877,-87.6265986,0.8139999999999992
9818858423,41.8777901,-87.626394,0.8094999999999993
9878390019,41.8788196,-87.6279085,0.8039999999999994
9878390030,41.8796803,-87.6262862,0.6954999999999998
9878390031,41.8793739,-87.6262837,0.6954999999999998
9913028155,41.8781445,-87.6275425,0.8099999999999993
9913028156,41.8781134,-87.6278471,0.8019999999999993
9913028168,41.878304,-87.6275382,0.8099999999999993
9913028171,41.8782707,-87.6278508,0.8049999999999993
9913028175,41.8782228,-87.6321346,0.7949999999999993
9913028185,41.879381,-87.6278834,0.8029999999999993
9913028193,41.8795456,-87.6278876,0.8029999999999993
9913028214,41.8769936,-87.6278085,0.7984999999999993
9913028435,41.8768079,-87.6312919,0.8274999999999997
9913028437,41.8767869,-87.6322541,0.8339999999999996
9913028456,41.8754497,-87.630171,0.8384999999999999
9913028468,41.8757824,-87.6312595,0.8364999999999999
9913028504,41.875757,-87.6331752,0.8379999999999991
9913028515,41.8763234,-87.633037,0.8384999999999998
9913028517,41.8767787,-87.6331775,0.8404999999999991
9913028518,41.8757567,-87.6331489,0.8379999999999991
